plan_name_hgarb,Name,FY,market_return_from_valuation,admin_expense_pct,market_return_from_acfr
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2004,NA,5.91E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2005,NA,5.92E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2006,NA,NA,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2007,NA,6.00E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2008,NA,NA,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2009,-0.191,8.80E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2010,0.151,8.66E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2011,0.23,5.51E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2012,2.40E-02,8.31E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2013,0.141,9.26E-04,NA
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2014,0.186,7.49E-04,0.1862
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2015,4.40E-02,7.92E-04,4.44E-02
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2016,-1.00E-03,1.01E-03,-2.00E-04
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2017,0.151,8.36E-04,0.1523
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2018,0.103,7.42E-04,0.1043
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2019,7.30E-02,7.23E-04,7.34E-02
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2020,4.20E-02,7.55E-04,4.22E-02
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2021,0.302,6.01E-04,0.3023
Minnesota State Retirement System -  Correctional Employees Retirement Fund,Minnesota State Retirement System (MSRS) Correctional Employees Retirement Plan,2022,-6.30E-02,-6.17E-04,-6.31E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2001,-2.23E-02,5.91E-04,NA
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2002,-6.33E-02,1.12E-03,NA
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2003,3.17E-02,1.17E-03,NA
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2004,0.1498,1.21E-03,NA
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2005,0.1092,1.33E-03,0.1098
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2006,0.1503,1.21E-03,0.1495
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2007,0.1804,1.15E-03,0.1809
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2008,-2.39E-02,1.90E-03,-2.41E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2009,-0.2497,2.12E-03,-0.247
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2010,0.1328,1.84E-03,0.1292
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2011,0.2167,1.83E-03,0.2175
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2012,2.82E-02,2.08E-03,2.74E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2013,0.1303,1.78E-03,0.1338
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2014,0.1828,1.94E-03,0.1758
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2015,5.89E-02,2.02E-03,6.62E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2016,1.08E-02,2.19E-03,1.02E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2017,0.1118,2.08E-03,0.1122
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2018,9.17E-02,2.03E-03,9.45E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2019,6.73E-02,1.80E-03,6.84E-02
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2020,-4.40E-03,1.82E-03,-4.40E-03
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2021,0.2999,1.53E-03,0.3079
Missouri MoDOT and Highway Patrol Employees’ Retirement System,Missouri MoDOT & Patrol Employees’ Retirement System,2022,3.90E-02,1.70E-03,0.04
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2001,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2002,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2003,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2004,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2005,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2006,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2007,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2008,NA,NA,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2009,NA,7.36E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2010,NA,6.06E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2011,NA,6.27E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2012,NA,5.63E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2013,NA,5.01E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2014,NA,4.90E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2015,NA,5.83E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2016,NA,6.30E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2017,NA,6.38E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2018,NA,6.33E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2019,NA,5.35E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2020,NA,4.87E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2021,NA,4.30E-03,NA
Missouri County Employees' Retirement Fund,Missouri County Employees Retirement Fund,2022,NA,5.29E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2001,-4.85E-02,9.69E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2002,-9.77E-02,1.11E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2003,4.52E-02,1.12E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2004,0.1332,9.52E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2005,0.1034,9.54E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2006,0.115,9.15E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2007,0.3009,8.20E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2008,1.44E-02,8.65E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2009,-0.1991,1.13E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2010,0.1474,1.04E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2011,0.2193,8.99E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2012,2.11E-02,9.17E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2013,0.1071,9.39E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2014,0.1924,7.97E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2015,-2.70E-02,9.40E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2016,2.00E-04,1.04E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2017,3.53E-02,1.09E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2018,7.71E-02,1.24E-03,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2019,4.30E-02,4.56E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2020,5.20E-02,4.45E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2021,0.264,3.59E-04,NA
Missouri State Employees' Retirement System (MOSERS) Judicial Plan,Missouri State Employees' Retirement System (MOSERS) Judicial Plan,2022,-0.09,4.17E-04,NA
Non-Teacher School Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2001,NA,1.39E-03,NA
Non-Teacher School Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2002,NA,1.62E-03,NA
Non-Teacher School Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2003,NA,1.76E-03,NA
Non-Teacher School Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2004,NA,1.70E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2005,NA,1.72E-03,NA
Non-Teacher School Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2005,NA,NA,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2006,NA,1.91E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2007,NA,1.65E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2008,-4.85E-02,1.82E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2009,-0.191,2.57E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2010,0.123,2.20E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2011,0.214,1.92E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2012,1.40E-02,1.89E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2013,0.119,1.45E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2014,0.167,1.26E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2015,4.30E-02,1.41E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2016,1.80E-02,1.74E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2017,0.123,1.43E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2018,NA,1.49E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2019,NA,1.48E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2020,3.70E-02,1.38E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2021,0.284,1.14E-03,NA
Public Education Employee Retirement System of Missouri,Missouri Public Education Employee Retirement System,2022,-0.03,1.25E-03,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2001,NA,1.98E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2002,NA,2.29E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2003,NA,2.33E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2004,0.1208,2.38E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2005,8.92E-02,2.34E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2006,9.49E-02,2.64E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2007,0.1625,2.43E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2008,-4.77E-02,2.93E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2009,-0.1955,4.69E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2010,0.128,4.22E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2011,0.218,3.14E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2012,1.60E-02,2.92E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2013,0.123,2.87E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2014,0.167,2.59E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2015,4.30E-02,2.87E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2016,1.80E-02,3.37E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2017,0.123,2.82E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2018,8.70E-02,2.81E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2019,6.90E-02,2.78E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2020,3.70E-02,2.62E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2021,0.284,2.13E-04,NA
Public School Retirement System of Missouri,Missouri Public School Retirement System,2022,-0.03,2.45E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2001,-5.10E-02,7.66E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2002,-7.30E-02,7.87E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2003,6.20E-02,8.76E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2004,0.133,6.40E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2005,8.04E-02,6.28E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2006,8.91E-02,5.75E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2007,0.1764,4.47E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2008,-4.88E-02,5.85E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2009,-0.208,8.05E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2010,0.129,7.56E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2011,0.217,6.20E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2012,2.20E-02,6.24E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2013,0.129,6.07E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2014,0.171,5.65E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2015,4.60E-02,5.49E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2016,2.10E-02,6.34E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2017,0.119,6.23E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2018,8.80E-02,6.87E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2019,5.70E-02,6.98E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2020,2.70E-02,9.04E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2021,0.277,7.69E-04,NA
Montana Teachers Retirement System,Montana Teachers' Retirement System,2022,-4.10E-02,7.52E-04,NA
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2001,NA,NA,NA
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2002,NA,NA,NA
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2003,0.209,NA,0.209
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2004,0.108,NA,0.108
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2005,6.30E-02,NA,6.30E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2006,0.1513,NA,0.1513
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2007,7.66E-02,NA,7.66E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2008,-0.276,NA,-0.276
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2009,0.2101,NA,0.2101
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2010,0.1346,NA,0.1346
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2011,0,NA,0
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2012,0.127,NA,0.127
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2013,0.183,1.33E-03,0.183
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2014,6.50E-02,1.38E-03,6.50E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2015,1.10E-02,1.39E-03,1.10E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2016,8.20E-02,1.50E-03,8.20E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2017,0.164,1.47E-03,0.164
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2018,-4.20E-02,1.48E-03,-4.20E-02
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2019,0.189,1.31E-03,0.189
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2020,0.127,1.24E-03,0.127
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2021,0.164,1.17E-03,0.164
Nebraska County Employees' Retirement System- Cash Balance Fund,Nebraska County Employees Retirement System,2022,NA,NA,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2001,-4.30E-02,4.13E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2002,-6.10E-02,4.14E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2003,4.60E-02,4.78E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2004,0.139,5.58E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2005,9.20E-02,5.43E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2006,0.101,4.20E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2007,0.174,3.46E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2008,-0.06,3.20E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2009,-0.193,4.67E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2010,0.135,1.66E-03,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2011,0.233,5.93E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2012,8.00E-03,4.58E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2013,5.80E-02,3.17E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2014,0.18,4.93E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2015,3.70E-02,5.15E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2016,1.60E-02,4.44E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2017,0.138,4.79E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2018,8.60E-02,3.79E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2019,6.72E-02,3.66E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2020,2.36E-02,4.22E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2021,0.3,4.75E-04,NA
Nebraska Judges Retirement System,Nebraska Judges Retirement System,2022,-8.30E-02,3.26E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2001,NA,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2002,NA,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2003,NA,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2004,0.205,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2005,0.108,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2006,6.38E-02,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2007,0.1513,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2008,7.87E-02,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2009,-0.2744,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2010,0.2118,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2011,0.1299,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2012,2.60E-03,NA,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2013,0.1299,6.83E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2014,0.181,6.98E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2015,6.80E-02,8.24E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2016,1.10E-02,8.01E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2017,8.50E-02,7.91E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2018,0.168,9.12E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2019,-4.20E-02,7.68E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2020,0.189,7.63E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2021,0.125,6.57E-04,NA
Nebraska State Employees Retirement System - Cash Balance Benefit Fund,Nebraska State Employees Retirement System,2022,0.166,NA,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2001,-4.20E-02,1.68E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2002,-6.10E-02,1.88E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2003,4.90E-02,2.06E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2004,0.144,2.31E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2005,9.50E-02,2.32E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2006,0.103,1.79E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2007,0.176,1.55E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2008,-5.70E-02,1.41E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2009,-0.194,2.84E-03,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2010,0.137,7.32E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2011,0.233,3.42E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2012,8.00E-03,2.06E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2013,0.129,1.58E-04,NA
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2014,0.179,3.39E-04,0.1787
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2015,3.70E-02,3.21E-04,4.05E-02
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2016,1.60E-02,3.55E-04,1.85E-02
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2017,0.132,3.56E-04,0.1316
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2018,8.20E-02,2.12E-04,8.17E-02
Nebraska Public Employees Retirement System - State Patrol Retirement System,Nebraska State Patrol Retirement System,2019,6.20E-02,1.74E-04,6.21E-02
